2025-04-26T10:00:43.761902,Disgust
2025-04-26T10:00:48.392520,Disgust
2025-04-26T10:00:53.421159,Disgust
2025-04-26T10:00:58.413630,Happiness
2025-04-26T10:01:03.408747,Sadness
2025-04-26T10:01:08.400347,Disgust
2025-04-26T10:01:13.395319,Sadness
2025-04-26T10:01:18.403469,Happiness
2025-04-26T10:01:23.401260,Happiness
2025-04-26T10:01:28.398710,Sadness
2025-04-26T10:01:33.396825,Disgust
2025-04-26T10:01:38.404396,Disgust
2025-04-26T10:01:43.406475,Disgust
2025-04-26T10:01:48.406196,Disgust
2025-04-26T10:01:53.401715,Happiness
2025-04-26T10:01:58.411996,Sadness
2025-04-26T10:02:03.402888,Sadness
2025-04-26T10:02:08.404111,Sadness
